# X(Col:A-Q=1-17) Y(Row=1-14) Count(N) Prob(%)
1 1 0 0.00
2 1 0 0.00
3 1 0 0.00
4 1 0 0.00
5 1 0 0.00
6 1 0 0.00
7 1 0 0.00
8 1 0 0.00
9 1 0 0.00
10 1 0 0.00
11 1 5 0.05
12 1 26 0.26
13 1 35 0.35
14 1 22 0.22
15 1 26 0.26
16 1 9 0.09
17 1 1 0.01

1 2 0 0.00
2 2 0 0.00
3 2 0 0.00
4 2 0 0.00
5 2 0 0.00
6 2 0 0.00
7 2 0 0.00
8 2 0 0.00
9 2 0 0.00
10 2 18 0.18
11 2 46 0.46
12 2 74 0.74
13 2 42 0.42
14 2 18 0.18
15 2 10 0.10
16 2 4 0.04
17 2 2 0.02

1 3 0 0.00
2 3 0 0.00
3 3 0 0.00
4 3 0 0.00
5 3 0 0.00
6 3 0 0.00
7 3 0 0.00
8 3 8 0.08
9 3 60 0.60
10 3 140 1.40
11 3 99 0.99
12 3 45 0.45
13 3 20 0.20
14 3 4 0.04
15 3 2 0.02
16 3 1 0.01
17 3 1 0.01

1 4 2 0.02
2 4 21 0.21
3 4 137 1.37
4 4 16 0.16
5 4 7 0.07
6 4 1 0.01
7 4 20 0.20
8 4 215 2.15
9 4 239 2.39
10 4 105 1.05
11 4 30 0.30
12 4 5 0.05
13 4 3 0.03
14 4 1 0.01
15 4 1 0.01
16 4 1 0.01
17 4 0 0.00

1 5 40 0.40
2 5 46 0.46
3 5 747 7.47
4 5 30 0.30
5 5 1250 12.50
6 5 205 2.05
7 5 571 5.71
8 5 277 2.77
9 5 38 0.38
10 5 5 0.05
11 5 2 0.02
12 5 1 0.01
13 5 1 0.01
14 5 1 0.01
15 5 0 0.00
16 5 0 0.00
17 5 0 0.00

1 6 3 0.03
2 6 1 0.01
3 6 28 0.28
4 6 31 0.31
5 6 63 0.63
6 6 85 0.85
7 6 62 0.62
8 6 1 0.01
9 6 8 0.08
10 6 7 0.07
11 6 10 0.10
12 6 7 0.07
13 6 3 0.03
14 6 4 0.04
15 6 0 0.00
16 6 0 0.00
17 6 0 0.00

1 7 174 1.74
2 7 1096 10.96
3 7 282 2.82
4 7 245 2.45
5 7 82 0.82
6 7 71 0.71
7 7 65 0.65
8 7 35 0.35
9 7 27 0.27
10 7 9 0.09
11 7 12 0.12
12 7 6 0.06
13 7 5 0.05
14 7 4 0.04
15 7 0 0.00
16 7 0 0.00
17 7 0 0.00

1 8 42 0.42
2 8 82 0.82
3 8 297 2.97
4 8 230 2.30
5 8 129 1.29
6 8 115 1.15
7 8 61 0.61
8 8 33 0.33
9 8 14 0.14
10 8 14 0.14
11 8 10 0.10
12 8 6 0.06
13 8 2 0.02
14 8 5 0.05
15 8 1 0.01
16 8 0 0.00
17 8 0 0.00

1 9 20 0.20
2 9 20 0.20
3 9 20 0.20
4 9 19 0.19
5 9 55 0.55
6 9 99 0.99
7 9 46 0.46
8 9 30 0.30
9 9 14 0.14
10 9 15 0.15
11 9 3 0.03
12 9 5 0.05
13 9 1 0.01
14 9 6 0.06
15 9 0 0.00
16 9 0 0.00
17 9 0 0.00

1 10 14 0.14
2 10 25 0.25
3 10 20 0.20
4 10 24 0.24
5 10 45 0.45
6 10 34 0.34
7 10 27 0.27
8 10 19 0.19
9 10 15 0.15
10 10 5 0.05
11 10 7 0.07
12 10 5 0.05
13 10 5 0.05
14 10 1 0.01
15 10 0 0.00
16 10 0 0.00
17 10 0 0.00

1 11 7 0.07
2 11 13 0.13
3 11 12 0.12
4 11 9 0.09
5 11 1 0.01
6 11 3 0.03
7 11 3 0.03
8 11 1 0.01
9 11 14 0.14
10 11 5 0.05
11 11 4 0.04
12 11 3 0.03
13 11 2 0.02
14 11 1 0.01
15 11 0 0.00
16 11 0 0.00
17 11 0 0.00

1 12 0 0.00
2 12 0 0.00
3 12 0 0.00
4 12 0 0.00
5 12 0 0.00
6 12 1 0.01
7 12 4 0.04
8 12 4 0.04
9 12 10 0.10
10 12 5 0.05
11 12 4 0.04
12 12 1 0.01
13 12 0 0.00
14 12 0 0.00
15 12 0 0.00
16 12 0 0.00
17 12 0 0.00

1 13 0 0.00
2 13 0 0.00
3 13 0 0.00
4 13 0 0.00
5 13 0 0.00
6 13 0 0.00
7 13 0 0.00
8 13 1 0.01
9 13 3 0.03
10 13 2 0.02
11 13 0 0.00
12 13 0 0.00
13 13 0 0.00
14 13 0 0.00
15 13 0 0.00
16 13 0 0.00
17 13 0 0.00

1 14 0 0.00
2 14 0 0.00
3 14 0 0.00
4 14 0 0.00
5 14 0 0.00
6 14 0 0.00
7 14 0 0.00
8 14 0 0.00
9 14 3 0.03
10 14 2 0.02
11 14 0 0.00
12 14 0 0.00
13 14 0 0.00
14 14 0 0.00
15 14 0 0.00
16 14 0 0.00
17 14 0 0.00
